text,label
"Террор — единственный язык, который они понимают!", 1.0
"Всех предателей надо казнить без суда!", 1.0
"Наша борьба оправдана, даже если придётся убивать!", 1.0
"Мы объявляем джихад всем неверным!", 1.0
"Власть — это враги народа, и с ними надо бороться!", 1.0
"Только кровь изменит этот прогнивший строй!", 1.0
"Всех [религиозная группа] — в печь!", 1.0
"Мы начнём революцию, даже если придётся умереть!", 1.0
"Смерть всем изменникам Родины!", 1.0
"Настоящий воин не ждёт приказа — он действует!", 1.0
"Мы создадим своё государство, даже если для этого придётся убивать!", 1.0
"Все, кто против нас, — мёртвые люди!", 1.0
"Только оружие решит нашу проблему!", 1.0
"Мы должны очистить нацию от грязи!", 1.0
"Война — единственный выход!", 1.0
"Всех [политическая группа] — к стенке!", 1.0
"Наша земля для наших людей, чужим здесь не место!", 1.0
"Если закон не работает, мы будем вершить правосудие сами!", 1.0
"Мы начнём охоту на предателей!", 1.0
"Смерть оккупантам!", 1.0
"Надо сжечь все их храмы и дома!", 1.0
"Мы объявляем войну системе!", 1.0
"Всех либералов — в тюрьму или в могилу!", 1.0
"Настоящий мужчина берёт автомат и защищает свою землю!", 1.0
"Мы устроим резню, если нас не услышат!", 1.0
"Всех уничтожить!", 1.0
"Террор — наше оружие!", 1.0
"Мы не остановимся, пока не победим!", 1.0
"Власть должна бояться народа!", 1.0
"Мы начнём чистку с наших городов!", 1.0
"Смерть всем, кто продал Родину!", 1.0
"Надо взорвать их штабы!", 1.0
"Мы создадим армию и пойдём войной!", 1.0
"Всех инородцев — вон из страны!", 1.0
"Только сила решит наши проблемы!", 1.0
"Мы объявляем джихад этой власти!", 1.0
"Настоящий герой умирает за идею!", 1.0
"Мы будем убивать, пока не победим!", 1.0
"Всех предателей — расстрелять на месте!", 1.0
"Мы устроим бунт, и никто нас не остановит!", 1.0
"Смерть всем оккупантам и коллаборационистам!", 1.0
"Надо сжечь их офисы и дома!", 1.0
"Мы начнём партизанскую войну!", 1.0
"Всех, кто против нас, — в могилу!", 1.0
"Террор — единственный способ достучаться до них!", 1.0
"Мы не будем просить — мы возьмём своё силой!", 1.0
"Власть должна пасть, и мы её уничтожим!", 1.0
"Мы создадим свои законы и будем карать предателей!", 1.0
"Смерть всем, кто смеет нам перечить!", 1.0
"Настоящий боец не боится крови!", 1.0
"Мы объявляем охоту на всех врагов!", 1.0
"Всех вышвырнуть из страны!", 1.0
"Только война расставит всё по местам!", 1.0
"Мы устроим кровавую баню, если нас не услышат!", 1.0
"Всех предателей — повесить на фонарях!", 1.0
"Мы не остановимся, пока не очистим землю!", 1.0
"Смерть всем, кто продал нацию!", 1.0
"Надо взорвать их штабы и центры!", 1.0
"Мы создадим своё правосудие!", 1.0
"Всех чужаков — гнать поганой метлой!", 1.0
"Только оружие говорит правду!", 1.0
"Мы объявляем священную войну!", 1.0
"Настоящий патриот не ждёт милости от врагов!", 1.0
"Мы будем убивать, пока не победим!", 1.0
"Всех предателей — к стенке!", 1.0
"Мы устроим резню, если нас не услышат!", 1.0
"Смерть всем оккупантам!", 1.0
"Надо сжечь их символы и здания!", 1.0
"Мы начнём партизанскую войну против системы!", 1.0
"Всех, кто против нас, — уничтожить!", 1.0
"Террор — наше главное оружие!", 1.0
"Мы не будем просить — мы возьмём своё силой!", 1.0
"Власть должна бояться народа!", 1.0
"Мы начнём чистку с наших городов!", 1.0
"Смерть всем, кто предал нацию!", 1.0
"Надо взорвать их центры власти!", 1.0
"Мы создадим армию мщения!", 1.0
"Всех инородцев — выдворить силой!", 1.0
"Только сила решит исход борьбы!", 1.0
"Мы объявляем джихад этой власти!", 1.0
"Настоящий герой умирает за правду!", 1.0
"Мы будем убивать, пока не победим!", 1.0
"Всех предателей — расстрелять!", 1.0
"Мы устроим бунт, и никто нас не остановит!", 1.0
"Смерть всем оккупантам и предателям!", 1.0
"Надо сжечь их символы и здания!", 1.0
"Мы начнём партизанскую войну!", 1.0
"Всех, кто против нас, — в могилу!", 1.0
"Террор — единственный язык, который они понимают!", 1.0
"Мы не будем просить — мы возьмём своё силой!", 1.0
"Власть должна пасть, и мы её уничтожим!", 1.0
"Мы создадим свои законы и будем карать!", 1.0
"Смерть всем, кто смеет нам перечить!", 1.0
"Настоящие мужчины не болтают — они стреляют!", 1.0
"Мы создадим свои суды и будем казнить предателей!", 1.0
"Всех [политиков/чиновников] — на вилы!", 1.0
"Кровь врагов оросит нашу землю!", 1.0
"Мы начнём охоту на каждого, кто против нас!", 1.0
"Террор — это не преступление, а необходимость!", 1.0
"Всех, кто смеётся над нами, — уничтожить!", 1.0
"Мы устроим ад для тех, кто нам мешает!", 1.0
"Настоящая власть — это власть силы!", 1.0
"Мы сожжём их дома, если они не уйдут!", 1.0
"Смерть всем, кто продал нашу страну!", 1.0
"Мы объявляем крестовый поход против неверных!", 1.0
"Всех чужаков — в резервации или в могилы!", 1.0
"Только война восстановит справедливость!", 1.0
"Мы не просим — мы берём своё силой!", 1.0
"Власть должна дрожать перед народом!", 1.0
"Мы очистим города от нечисти!", 1.0
"Смерть всем, кто смеет нам перечить!", 1.0
"Надо взорвать их символы власти!", 1.0
"Мы создадим свою полицию и будем судить!", 1.0
"Всех иноагентов — расстрелять без суда!", 1.0
"Только оружие даст нам свободу!", 1.0
"Мы объявляем джихад этой системе!", 1.0
"Настоящий патриот не ждёт милости!", 1.0
"Мы будем убивать, пока не победим!", 1.0
"Всех предателей — повесить на площадях!", 1.0
"Мы устроим кровавую баню!", 1.0
"Смерть всем оккупантам и коллаборантам!", 1.0
"Надо сжечь их офисы и штабы!", 1.0
"Мы начнём партизанскую войну против режима!", 1.0
"Всех, кто против нас, — стереть с лица земли!", 1.0
"Террор — единственный способ добиться правды!", 1.0
"Мы не будем просить — мы возьмём своё!", 1.0
"Власть должна пасть, и мы её уничтожим!", 1.0
"Мы создадим свои законы и будем карать!", 1.0
"Смерть всем, кто предал нацию!", 1.0
"Настоящий воин не знает пощады!", 1.0
"Мы объявляем охоту на всех врагов народа!", 1.0
"Всех — изгнать!", 1.0
"Только сила решит исход борьбы!", 1.0
"Мы устроим резню, если нас не услышат!", 1.0
"Всех предателей — к стенке!", 1.0
"Мы не остановимся, пока не победим!", 1.0
"Смерть всем, кто продал Родину!", 1.0
"Надо взорвать их центры влияния!", 1.0
"Мы создадим армию возмездия!", 1.0
"Всех чужаков — вышвырнуть за границу!", 1.0
"Только война расставит всё по местам!", 1.0
"Мы объявляем священную войну!", 1.0
"Настоящий герой умирает за правду!", 1.0
"Мы должны очистить нашу землю от чужаков любой ценой", 1.0  
"Только сила решит наши проблемы, переговоры бесполезны", 1.0  
"Все они предатели и заслуживают наказания", 1.0  
"Настоящие патриоты не боятся крови ради своей цели", 1.0  
"Наша раса выше всех остальных, и мы это докажем", 1.0  
"Кто не с нами, тот против нас и должен быть уничтожен", 1.0  
"Власть должна пасть, и мы сделаем это любыми методами", 1.0  
"Они не люди, их нужно стереть с лица земли", 1.0  
"Мы объявим войну всем, кто думает иначе", 1.0  
"Террор — единственный язык, который они понимают", 1.0  
"Наша вера единственно верная, остальные должны быть наказаны", 1.0  
"Мы восстановим справедливость, даже если придется убивать", 1.0  
"Их дети тоже виноваты, кровь за кровь", 1.0  
"Смерть всем, кто предал наши идеалы", 1.0  
"Мы создадим новый порядок, уничтожив старый", 1.0  
"Они захватили нашу страну, и мы вернем ее силой", 1.0  
"Никакой пощады врагам нашего народа", 1.0  
"Только оружие даст нам свободу", 1.0  
"Мы начнем революцию, и реки крови будут течь", 1.0  
"Их законы не для нас, мы живем по своим правилам", 1.0  
"Мы будем мстить за каждого нашего павшего", 1.0  
"Их города должны гореть, как горели наши", 1.0  
"Мы не остановимся, пока не уничтожим всех врагов", 1.0  
"Они недостойны жизни, и мы исправим эту ошибку", 1.0  
"Наша ненависть сильнее их страха", 1.0  
"Мы — избранные, а они — отбросы", 1.0  
"Смерть — единственное, чего они заслуживают", 1.0  
"Мы разожжем огонь, который поглотит их мир", 1.0  
"Их слезы — наша победа", 1.0  
"Мы не люди, мы оружие возмездия", 1.0  
"Никаких компромиссов, только уничтожение", 1.0  
"Они смеются над нами, но скоро будут плакать", 1.0  
"Мы принесем хаос в их уютный мир", 1.0  
"Кровь врагов омоет наши земли", 1.0  
"Мы не просим, мы берем силой", 1.0  
"Их существование — оскорбление для нас", 1.0  
"Мы сметем их, как пыль с дороги", 1.0  
"Наша правда оправдывает любые жертвы", 1.0  
"Они дрожат, и правильно делают", 1.0  
"Мы — буря, которая их уничтожит", 1.0  
"Их страдания — наше наслаждение", 1.0  
"Мы не ведем переговоры с нечистью", 1.0  
"Каждый наш удар приближает победу", 1.0  
"Они обречены, даже если еще не знают об этом", 1.0  
"Мы не оставим им шанса на спасение", 1.0  
"Их молитвы не спасут их от нашей ярости", 1.0  
"Мы превратим их рай в ад", 1.0  
"Они думают, что в безопасности, но это ненадолго", 1.0  
"Мы — карающий меч, и он уже занесен", 1.0  
"Их время истекло, настал наш час", 1.0
"Мы должны очистить нашу землю от чужаков", 1.0  
"Только наша вера истинна, все остальные должны быть уничтожены", 1.0  
"Власть должна пасть, и мы сделаем это силой", 1.0  
"Все, кто против нас, — враги и заслуживают смерти", 1.0  
"Наша раса выше всех, остальные не достойны жизни", 1.0  
"Мы объявим джихад всем неверным", 1.0  
"Государство — это тюрьма, и мы его взорвём", 1.0  
"Смерть всем предателям родины", 1.0  
"Мы создадим новое общество через кровь и огонь", 1.0  
"Истинная правда только в наших руках, остальные лгут", 1.0  
"Кто не с нами, тот против нас и будет уничтожен", 1.0  
"Наша цель — свержение власти любой ценой", 1.0  
"Чужие культуры должны быть стёрты с лица земли", 1.0  
"Мы воюем за чистоту нации", 1.0  
"Все СМИ врут, только мы говорим правду", 1.0  
"Мы начнём революцию, и никто нас не остановит", 1.0  
"Смерть всем, кто не подчиняется нашим законам", 1.0  
"Наша религия требует уничтожения неверных", 1.0  
"Мы восстановим справедливость через насилие", 1.0  
"Все политики — предатели, и они заплатят", 1.0  
"Наша группа — единственные, кто знает правду", 1.0  
"Мы приведём мир к хаосу, чтобы построить новый порядок", 1.0  
"Террор — единственный способ добиться своих целей", 1.0  
"Все иностранцы должны быть изгнаны или убиты", 1.0  
"Мы не остановимся, пока не уничтожим всех врагов", 1.0  
"Наша идеология — единственно верная", 1.0  
"Мы будем убивать, пока не победим", 1.0  
"Только через кровь можно достичь истинной свободы", 1.0  
"Все, кто думает иначе, — наши враги", 1.0  
"Мы развяжем войну против системы", 1.0  
"Наша цель — уничтожение демократии", 1.0  
"Мы создадим империю на костях врагов", 1.0  
"Смерть всем, кто не разделяет наши взгляды", 1.0  
"Мы будем мстить всем, кто против нас", 1.0  
"Наша правда оправдывает любые жертвы", 1.0  
"Мы воюем за священную землю", 1.0  
"Все, кто не подчиняется, должны быть наказаны", 1.0  
"Мы приведём мир к разрушению, чтобы построить новый", 1.0  
"Наша борьба — священная война", 1.0  
"Мы не признаём законов, кроме своих", 1.0  
"Все, кто не с нами, — предатели", 1.0  
"Мы будем сеять страх среди врагов", 1.0  
"Наша сила — в жестокости", 1.0  
"Мы уничтожим всех, кто стоит на нашем пути", 1.0  
"Только мы решаем, кто достоин жить", 1.0  
"Мы свергнем правительство и установим свои правила", 1.0  
"Наша месть будет страшной", 1.0  
"Мы объявим войну всем чужакам", 1.0  
"Все, кто не верит в нашу идею, — враги", 1.0  
"Мы будем бороться до последнего вздоха", 1.0  
"Наша победа будет кровавой", 1.0
"Мы должны очистить нашу страну от всех чужаков, они угрожают нашей культуре.", 1.0  
"Только сильная рука сможет навести порядок, демократия — это слабость.", 1.0  
"Настоящие патриоты готовы на всё, чтобы защитить свою землю от предателей.", 1.0  
"Власть должна принадлежать избранным, а не этой серой массе.", 1.0  
"Все, кто против нас, должны быть уничтожены без разговоров.", 1.0  
"Наша вера — единственно верная, остальные должны быть искоренены.", 1.0  
"Террор — это единственный язык, который понимают наши враги.", 1.0  
"Мы должны создать общество, где нет места слабым и нечистым.", 1.0  
"Кровь предателей должна пролиться за наши идеалы.", 1.0  
"Только жесткость и беспощадность приведут нас к победе.", 1.0  
"Все, кто не с нами, — наши враги, и с ними нужно поступать соответственно.", 1.0  
"Мы не остановимся, пока не уничтожим всех, кто стоит на нашем пути.", 1.0  
"Наша цель — тотальное господство, и никакие жертвы не будут напрасны.", 1.0  
"Слабые должны служить сильным, иначе они бесполезны.", 1.0  
"Только через насилие можно добиться настоящих перемен.", 1.0  
"Мы должны избавиться от всех, кто думает иначе.", 1.0  
"Наша борьба священна, и мы не потерпим предателей в наших рядах.", 1.0  
"Те, кто против нашей идеологии, не заслуживают жизни.", 1.0  
"Мы должны установить новый порядок, где нет места слабости.", 1.0  
"Все, кто не подчиняется, будут уничтожены.", 1.0  
"Наша сила — в нашей жестокости, и мы не остановимся.", 1.0  
"Только чистые кровью могут быть частью нашего общества.", 1.0  
"Мы не будем вести переговоры с теми, кто нам мешает.", 1.0  
"Наша правда — единственная, и все остальные должны молчать.", 1.0  
"Мы не признаём законов, кроме своих собственных.", 1.0  
"Все, кто не поддерживает нас, — предатели и должны быть наказаны.", 1.0  
"Мы возьмём то, что принадлежит нам по праву, любой ценой.", 1.0  
"Наша миссия — уничтожить всех, кто стоит у нас на пути.", 1.0  
"Только через кровь и страдания можно построить новое общество.", 1.0  
"Мы не потерпим инакомыслия, все должны думать одинаково.", 1.0  
"Наша власть будет абсолютной, и никто не сможет её оспорить.", 1.0  
"Те, кто не с нами, — мусор, и их место на свалке истории.", 1.0  
"Мы не боимся смерти, потому что наши идеалы вечны.", 1.0  
"Наша ненависть — это наша сила, и мы будем её использовать.", 1.0  
"Все, кто пытается остановить нас, будут стёрты с лица земли.", 1.0  
"Мы не признаём компромиссов, только полное подчинение.", 1.0  
"Наша армия растёт, и скоро никто не сможет нам противостоять.", 1.0  
"Мы будем править железной рукой, и никто не посмеет ослушаться.", 1.0  
"Только уничтожив всех врагов, мы сможем жить спокойно.", 1.0  
"Наша идеология превыше всего, даже человеческих жизней.", 1.0  
"Мы не оставим камня на камне от старого мира.", 1.0  
"Все, кто сомневается в нас, должны быть немедленно наказаны.", 1.0  
"Мы не просим, мы требуем полного подчинения.", 1.0  
"Наша месть будет страшной для всех, кто посмел нам перечить.", 1.0  
"Мы не остановимся, пока не добьёмся абсолютного контроля.", 1.0  
"Только страх сможет удержать людей в повиновении.", 1.0  
"Наша правда жестока, но это единственный путь.", 1.0  
"Мы не признаём слабости, только силу и решимость.", 1.0  
"Все, кто не согласен, будут уничтожены без сожалений.", 1.0  
"Мы создадим новый мир, где нет места для слабых.", 1.0  
"Наша ненависть — это огонь, который сожжёт всех врагов.", 1.0  
"Мы не будем подчиняться законам, которые нам не нравятся.", 1.0  
"Только через разрушение можно построить что-то новое.", 1.0  
"Наша цель — власть, и мы возьмём её любой ценой.", 1.0  
"Мы не признаём границ, всё должно принадлежать нам.", 1.0  
"Все, кто против нас, — мёртвы, даже если ещё дышат.", 1.0  
"Мы не просим разрешения, мы берём то, что хотим.", 1.0  
"Наша жестокость — это наше оружие, и мы будем его использовать.", 1.0  
"Мы не остановимся, пока не подчиним себе всех.", 1.0  
"Только полное уничтожение врагов приведёт нас к победе.", 1.0  
"Наша сила — в нашей бескомпромиссности, и мы не сдадимся.", 1.0
"Мы должны бороться против этой власти любыми средствами, даже насилием.", 1.0  
"Их законы не для нас, мы установим свои порядки силой.", 1.0  
"Все, кто не с нами, — предатели и должны быть наказаны.", 1.0  
"Власть узурпировала наши права, пора вернуть их кровью.", 1.0  
"Только оружие даст нам свободу, переговоры бесполезны.", 1.0  
"Мы объявим джихад всем, кто против нашей веры.", 1.0  
"Чужие на нашей земле не имеют права жить.", 1.0  
"Государство — это враг, и его нужно уничтожить.", 1.0  
"Мы создадим хаос, чтобы построить новый порядок.", 1.0  
"Тех, кто не поддерживает нас, ждёт смерть.", 1.0  
"Наша идеология — единственная правильная, остальные должны быть стёрты.", 1.0  
"Мы не признаём их суды, наш суд — это пуля.", 1.0  
"Все СМИ лгут, только мы говорим правду.", 1.0  
"Кто не с нами, тот против нас, и ему нет места среди живых.", 1.0  
"Мы начнём революцию, и реки крови будут течь по улицам.", 1.0  
"Их политики — марионетки, и мы их уничтожим.", 1.0  
"Наша цель — свергнуть режим, даже если придётся убивать.", 1.0  
"Мы не будем подчиняться, мы будем диктовать свои условия.", 1.0  
"Террор — это наш метод борьбы за справедливость.", 1.0  
"Мы объединимся против общего врага и сотрём его с лица земли.", 1.0  
"Их армия слаба, мы раздавим их одним ударом.", 1.0  
"Мы не просим свободу, мы берём её силой.", 1.0  
"Все, кто думает иначе, — наши враги.", 1.0  
"Мы не остановимся, пока не уничтожим всю систему.", 1.0  
"Наша правда оправдывает любые жертвы.", 1.0  
"Они смеются над нами, но скоро будут плакать.", 1.0  
"Мы заставим их дрожать от страха перед нашей местью.", 1.0  
"Наши враги не заслуживают милосердия, только смерть.", 1.0  
"Мы разожжем огонь войны, и никто не сможет его потушить.", 1.0  
"Их демократия — обман, мы принесём истинную справедливость.", 1.0  
"Мы не просим, мы требуем, и если нужно — убиваем.", 1.0  
"Наша ненависть сильнее их законов.", 1.0  
"Мы создадим государство, где только наши будут править.", 1.0  
"Все, кто против нас, — трупы, даже если ещё не знают об этом.", 1.0  
"Мы не боимся смерти, мы принесём её другим.", 1.0  
"Их тюрьмы не остановят нас, мы будем сражаться до конца.", 1.0  
"Мы — избранные, и все остальные должны нам подчиняться.", 1.0  
"Насилие — это язык, который они понимают.", 1.0  
"Мы не просим разрешения, мы берём то, что нам принадлежит.", 1.0  
"Они думают, что мы шутим, но скоро увидят кровь.", 1.0  
"Мы не верим в переговоры, только в силу.", 1.0  
"Наша цель — очистить землю от неверных.", 1.0  
"Мы не остановимся, пока не уничтожим всех врагов.", 1.0  
"Их города будут гореть, а мы будем смеяться.", 1.0  
"Мы не признаём их границ, весь мир — наш.", 1.0  
"Они называют нас преступниками, но мы — освободители.", 1.0  
"Мы не просим прощения, мы требуем подчинения.", 1.0  
"Наша месть будет страшной и беспощадной.", 1.0  
"Мы не боимся их законов, мы пишем свои.", 1.0  
"Они пытаются нас запугать, но скоро сами будут бежать.", 1.0
"Мы должны очистить нашу землю от чужаков, они разрушают нашу культуру и традиции. Только сильные и решительные действия помогут нам вернуть былое величие. Все, кто не с нами, — против нас.", 1.0  
"Власть должна пасть, и мы сделаем это любыми средствами. Кровь предателей оросит землю, и мы восторжествуем. Слабые не заслуживают места в новом мире.", 1.0  
"Настоящие патриоты не станут терпеть этих ублюдков у власти. Пришло время взять оружие и показать им, кто здесь хозяин. Только сила решит исход нашей борьбы.", 1.0  
"Они смеются над нами, но скоро мы заставим их дрожать от страха. Наша месть будет страшной и беспощадной. Никто не сможет остановить нашу правду.", 1.0  
"Чужаки захватили наши города, и мы должны выжечь их присутствие огнём. Наша земля только для наших людей. Кто не согласен — пусть готовится к худшему.", 1.0  
"Предатели в правительстве продали нашу страну, и теперь мы должны её освободить. Пусть их семьи узнают, что значит предательство. Мы не остановимся, пока не восстановим справедливость.", 1.0  
"Их религия — это яд, и мы должны уничтожить её любыми способами. Наши предки не допустили бы такого позора. Время действовать настало.", 1.0  
"Мы создадим новое государство, где нет места слабым и нерешительным. Только чистые кровью будут править. Остальные — рабы или трупы.", 1.0  
"Они думают, что могут диктовать нам правила, но мы покажем им настоящий террор. Каждая их семья будет оплакивать своих. Мы не простим и не забудем.", 1.0  
"Наша борьба — священна, и мы принесём жертвы ради победы. Их дети будут плакать, а наши — ликовать. Такова воля высших сил.", 1.0  
"Мы объявим джихад всем, кто не подчиняется нашей вере. Их города сгорят, а женщины станут нашими. Аллах велит нам очистить землю от неверных.", 1.0  
"Они называют нас экстремистами, но мы — воины света. Их ложь не остановит нашу правду. Мы будем убивать, пока не победим.", 1.0  
"Каждый, кто не с нами, — враг и должен быть уничтожен. Мы не будем слушать их оправдания. Только смерть спасёт их от позора.", 1.0  
"Мы взорвём их символы власти и оставим только пепел. Их страх будет нашей наградой. Никто не сможет скрыться от нашей мести.", 1.0  
"Их законы — это цепи, и мы разорвём их руками. Кровь полицейских омоет наши улицы. Мы — новые хозяева этой земли.", 1.0  
"Они смеют учить нас, как жить, но мы научим их умирать. Наши ножи уже заточены. Скоро они узнают цену своим словам.", 1.0  
"Мы создадим армию мучеников, которые принесут победу в наши дома. Их смерть будет началом новой эры. Мы не остановимся перед жертвами.", 1.0  
"Их дети будут плакать, а мы будем смеяться. Такова цена их сопротивления. Мы не оставим им шанса на спасение.", 1.0  
"Наша ненависть сильнее их страха. Мы будем убивать, пока не останется никого, кто осмелится нам противостоять. Это наша клятва.", 1.0  
"Они запрещают наши символы, но мы сделаем их символом смерти. Каждый их шаг будет последним. Мы уже идём за ними.", 1.0  
"Мы сожжём их храмы и построим свои на костях врагов. Их боги бессильны против нашей ярости. Только мы решаем, что правильно.", 1.0  
"Их лидеры — марионетки, и мы оборвём их нитки. Трупы предателей будут висеть на площадях. Мы — судьи и палачи.", 1.0  
"Мы не будем просить, мы будем брать силой. Их женщины, их земли, их жизни — всё теперь наше. Сопротивление бесполезно.", 1.0  
"Они пытаются заставить нас молчать, но наши крики разорвут их уши. Мы заполним улицы кровью. Их время закончилось.", 1.0  
"Мы — шторм, который сметёт их жалкий мир. Никакие стены не защитят их от нашей ярости. Они обречены.", 1.0  
"Их тюрьмы не остановят нас, ведь мы готовы умереть за правду. Каждый наш шаг — шаг к победе. Они не понимают, с чем связались.", 1.0  
"Мы найдём каждого, кто смел нас предать, и сотрём его с лица земли. Их семьи будут проклинать день их рождения. Такова наша воля.", 1.0  
"Они думают, что мы шутим, но скоро увидят наши лица в своих кошмарах. Мы придём ночью и заберём их души. Никто не спасётся.", 1.0  
"Наша вера сильнее их законов. Мы будем резать, пока они не поймут своё место. Их кровь — это жертва высшим силам.", 1.0  
"Мы превратим их города в руины и будем танцевать на обломках. Их слёзы — наша радость. Мы не знаем пощады.", 1.0  
"Они пытаются разделить нас, но мы объединимся под знаменем ненависти. Их кровь скрепит наш союз. Мы — семья смерти.", 1.0  
"Мы заложим бомбы в их домах и будем наблюдать, как они горят. Их крики — музыка для наших ушей. Мы — судьи этого мира.", 1.0  
"Их дети будут дрожать при нашем имени. Мы воспитаем новое поколение в духе мести. Они заплатят за грехи своих отцов.", 1.0  
"Мы не просим, мы требуем их голов. Каждый, кто встанет на нашем пути, будет растоптан. Мы — будущее, а они — прошлое.", 1.0  
"Они прячутся за законами, но законы не спасут их от ножа. Мы будем убивать тихо и быстро. Их трупы станут предупреждением.", 1.0  
"Мы взорвём мосты, чтобы никто не сбежал. Их судьба — умереть здесь и сейчас. Мы не оставим им выбора.", 1.0  
